City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Sault Sainte Marie,46.5168,-84.3333,61.36,93,100,6.91,CA,2022-09-16 00:48:17
194,Perth,-31.9333,115.8333,61.66,84,75,4.61,AU,2022-09-16 00:49:33
195,Ponta Do Sol,32.6667,-17.1,75.83,88,47,5.99,PT,2022-09-16 00:49:33
196,Saint-Philippe,-21.3585,55.7679,67.59,87,62,15.99,RE,2022-09-16 00:45:43
197,Panalingaan,8.7842,117.4231,80.94,84,100,6.49,PH,2022-09-16 00:49:34
198,French Harbor,16.35,-86.4333,84.2,86,75,23.02,HN,2022-09-16 00:49:34
199,Talnakh,69.4865,88.3972,36.21,96,100,18.07,RU,2022-09-16 00:49:35
200,Salta,-24.7859,-65.4117,59.59,37,0,6.91,AR,2022-09-16 00:49:35
201,Torbay,47.6666,-52.7314,58.57,88,0,12.66,CA,2022-09-16 00:49:35
202,Hima,0.2958,30.1804,66.63,91,87,0.92,UG,2022-09-16 00:49:36
203,Sumbe,-11.2061,13.8437,71.1,91,71,10.69,AO,2022-09-16 00:49:36
204,Rio Gallegos,-51.6226,-69.2181,37.45,93,100,6.91,AR,2022-09-16 00:49:36
205,Saldanha,-33.0117,17.9442,57.25,91,7,9.04,ZA,2022-09-16 00:49:37
206,Wageningen,51.9667,5.6667,54.03,94,100,6.91,NL,2022-09-16 00:49:37
207,East London,-33.0153,27.9116,65.16,64,21,7.09,ZA,2022-09-16 00:49:37
208,Kavieng,-2.5744,150.7967,83.8,67,100,14.74,PG,2022-09-16 00:49:38
209,Makushino,55.2103,67.2442,45.55,58,7,8.7,RU,2022-09-16 00:49:38
210,Clifton,40.8584,-74.1638,71.02,56,0,10.36,US,2022-09-16 00:49:39
211,Mutsu,41.2894,141.2169,69.93,80,100,5.06,JP,2022-09-16 00:49:39
212,Ilulissat,69.2167,-51.1,41.02,100,75,1.14,GL,2022-09-16 00:49:39
